model,execution_errors_total,exec_error_by_func_gather,exec_error_by_func_craft,exec_error_by_func_move,exec_error_by_func_unequip,exec_error_by_func_equip,exec_error_by_func_fight,exec_error_craft_reason_enough_items_for_craft,exec_error_craft_reason_on_workshop_tile,craft_missing_not_attempted,craft_missing_attempted,craft_intermediate_not_attempted,craft_intermediate_attempted,tasks_with_only_failed_gear_calculation,tasks_failed_total,tasks_with_both_calc_craft,tasks_with_only_failed_craft,tasks_with_wrong_code_format,tasks_other,win_tasks,exec_error_by_func_buy,exec_error_craft_reason_needed_skill_level
gpt4.1_mini,305,3200.0,126,8600.0,5100.0,300.0,700.0,118,2000.0,443,0,0,0,7.2,83.9,55.0,6.7,11.1,3.9,29,,
qwen3_32b,1075,31900.0,263,31300.0,1900.0,6400.0,9700.0,254,8100.0,605,0,0,0,5.0,98.3,77.2,7.2,7.2,1.7,3,,
grok-4,4,,3,,,,100.0,3,,20,0,0,0,2.8,8.3,1.7,0.6,2.8,0.6,165,,
gemini-2.5-flash,251,2400.0,97,7700.0,2400.0,200.0,2700.0,79,100.0,208,0,0,0,17.8,73.9,30.6,7.8,10.6,7.2,47,,
deepseek-v3,246,1600.0,171,2300.0,1800.0,1400.0,400.0,170,500.0,653,0,0,0,16.7,92.8,68.3,5.0,1.7,1.1,13,,
DeepSeek-R1-Distill-Llama-70B,245,2800.0,103,3600.0,100.0,6400.0,1300.0,97,4100.0,429,0,0,0,11.1,86.7,41.7,6.7,26.7,0.6,20,,
o3_high,32,100.0,29,,,,200.0,29,,146,0,0,0,21.7,39.4,7.8,7.8,1.1,1.1,109,,
qwen3-235b-a22,366,7600.0,163,4500.0,1600.0,3900.0,2700.0,120,6600.0,366,0,0,0,9.4,87.8,45.0,2.8,27.2,3.3,22,,
gemini-2.5-pro,18,,12,300.0,,200.0,100.0,12,,147,0,0,0,22.2,37.8,7.8,1.1,1.7,3.3,114,,
kimi-k2,197,1200.0,117,1600.0,100.0,3800.0,1300.0,115,1400.0,555,0,0,0,17.8,91.7,53.9,1.1,18.3,0.6,15,,
gpt-4.1,138,200.0,52,4500.0,3900.0,,,50,300.0,264,0,0,0,26.1,68.3,32.2,3.3,2.2,4.4,57,,
magistral-medium-2506-thinking,244,6000.0,77,3800.0,700.0,2000.0,4200.0,54,3600.0,354,0,0,0,16.1,90.6,32.8,2.8,36.7,2.2,17,,
gpt-5,15,,12,,,,100.0,12,,34,0,0,0,8.3,16.1,1.1,5.6,0.6,0.6,151,200.0,
deepseek-r1-0528,218,4000.0,85,5200.0,2900.0,1100.0,100.0,80,1100.0,431,0,0,0,19.4,78.3,39.4,4.4,12.2,2.8,39,,
claude-sonnet-4,744,33600.0,224,18100.0,,300.0,,219,,515,0,0,0,0.6,82.8,60.6,3.3,16.1,2.2,31,,15700.0
qwen3_32b_think,851,16800.0,301,24800.0,3000.0,7800.0,2600.0,198,22100.0,558,0,0,0,9.4,90.0,70.6,5.6,3.3,1.1,18,,
o4-mini_high,67,200.0,43,1600.0,100.0,400.0,100.0,34,1000.0,326,0,0,0,22.8,65.0,22.2,3.9,14.4,1.7,63,,
qwen3-235b-a22b-thinking-2507,264,4000.0,117,3800.0,3800.0,1100.0,2000.0,66,6200.0,386,0,0,0,13.9,77.8,36.7,2.2,22.2,2.8,40,,
gpt-5-mini,57,,34,1800.0,300.0,100.0,100.0,28,600.0,285,0,0,0,29.4,65.0,15.6,2.8,15.0,2.2,63,,
qwen3_8b_think,470,10200.0,221,5100.0,800.0,6800.0,2000.0,182,18600.0,616,0,0,0,5.6,96.1,78.9,7.8,2.8,1.1,7,,
gpt-oss-120b,524,19300.0,80,20800.0,3800.0,400.0,100.0,36,5800.0,353,0,0,0,12.2,91.1,34.4,3.9,40.6,0.0,16,,
claude-sonnet-4_think,59,200.0,45,1100.0,,100.0,,45,,275,0,0,0,24.4,55.6,21.7,3.9,3.3,2.2,80,,
gigachat-2-max,307,7600.0,130,7500.0,1400.0,400.0,800.0,130,1200.0,619,0,0,0,17.2,97.2,61.1,5.6,11.7,1.7,5,,
qwen3_8b,406,13500.0,171,4000.0,800.0,3700.0,1500.0,167,9200.0,521,0,0,0,8.9,100.0,67.8,10.6,12.8,0.0,0,,100.0
