model,execution_errors_total,exec_error_by_func_gather,exec_error_by_func_craft,exec_error_by_func_move,exec_error_by_func_unequip,exec_error_by_func_equip,exec_error_by_func_fight,exec_error_craft_reason_enough_items_for_craft,exec_error_craft_reason_on_workshop_tile,craft_missing_not_attempted,craft_missing_attempted,craft_intermediate_not_attempted,craft_intermediate_attempted,tasks_with_only_failed_gear_calculation,tasks_failed_total,tasks_with_both_calc_craft,tasks_with_only_failed_craft,tasks_with_wrong_code_format,tasks_other,win_tasks,num_tasks_total,exec_error_by_func_buy,exec_error_craft_reason_needed_skill_level,craft_missing_not_attempted_sd,execution_errors_total_sd,eligible_tasks,wrong_code_as_count,total_tasks_used
gpt4.1_mini,1.906,32.0,126,86.0,51.0,3.0,7.0,118,20.0,2.769,0,0,0,0.0722,0.8389,0.55,0.0667,0.1111,0.0389,29,0,0.0,0.0,2.42,1.79,160,20.0,180
qwen3_32b,6.437,319.0,263,313.0,19.0,64.0,97.0,254,81.0,3.623,0,0,0,0.05,0.9833,0.7722,0.0722,0.0722,0.0167,3,0,0.0,0.0,2.33,5.86,167,13.0,180
grok-4,0.023,0.0,3,0.0,0.0,0.0,1.0,3,0.0,0.114,0,0,0,0.0278,0.0833,0.0167,0.0056,0.0278,0.0056,165,0,0.0,0.0,0.16,0.04,175,5.0,180
gemini-2.5-flash,1.559,24.0,97,77.0,24.0,2.0,27.0,79,1.0,1.292,0,0,0,0.1778,0.7389,0.3056,0.0778,0.1056,0.0722,47,0,0.0,0.0,1.27,1.66,161,19.0,180
deepseek-v3,1.39,16.0,171,23.0,18.0,14.0,4.0,170,5.0,3.689,0,0,0,0.1667,0.9278,0.6833,0.05,0.0167,0.0111,13,0,0.0,0.0,2.38,0.63,177,3.0,180
DeepSeek-R1-Distill-Llama-70B,1.856,28.0,103,36.0,1.0,64.0,13.0,97,41.0,3.25,0,0,0,0.1111,0.8667,0.4167,0.0667,0.2667,0.0056,20,0,0.0,0.0,2.64,0.88,132,48.0,180
o3_high,0.18,1.0,29,0.0,0.0,0.0,2.0,29,0.0,0.82,0,0,0,0.2167,0.3944,0.0778,0.0778,0.0111,0.0111,109,0,0.0,0.0,0.98,0.17,178,2.0,180
qwen3-235b-a22,2.794,76.0,163,45.0,16.0,39.0,27.0,120,66.0,2.794,0,0,0,0.0944,0.8778,0.45,0.0278,0.2722,0.0333,22,0,0.0,0.0,2.4,1.91,131,49.0,180
gemini-2.5-pro,0.102,0.0,12,3.0,0.0,2.0,1.0,12,0.0,0.831,0,0,0,0.2222,0.3778,0.0778,0.0111,0.0167,0.0333,114,0,0.0,0.0,1.09,0.12,177,3.0,180
kimi-k2,1.34,12.0,117,16.0,1.0,38.0,13.0,115,14.0,3.776,0,0,0,0.1778,0.9167,0.5389,0.0111,0.1833,0.0056,15,0,0.0,0.0,2.52,0.71,147,33.0,180
gpt-4.1,0.784,2.0,52,45.0,39.0,0.0,0.0,50,3.0,1.5,0,0,0,0.2611,0.6833,0.3222,0.0333,0.0222,0.0444,57,0,0.0,0.0,1.39,0.89,176,4.0,180
magistral-medium-2506-thinking,2.14,60.0,77,38.0,7.0,20.0,42.0,54,36.0,3.105,0,0,0,0.1611,0.9056,0.3278,0.0278,0.3667,0.0222,17,0,0.0,0.0,2.48,2.1,114,66.0,180
gpt-5,0.084,0.0,12,0.0,0.0,0.0,1.0,12,0.0,0.19,0,0,0,0.0833,0.1611,0.0111,0.0556,0.0056,0.0056,151,0,2.0,0.0,0.28,0.07,179,1.0,180
deepseek-r1-0528,1.38,40.0,85,52.0,29.0,11.0,1.0,80,11.0,2.728,0,0,0,0.1944,0.7833,0.3944,0.0444,0.1222,0.0278,39,0,0.0,0.0,2.46,1.39,158,22.0,180
claude-sonnet-4,4.927,336.0,224,181.0,0.0,3.0,0.0,219,0.0,3.411,0,0,0,0.0056,0.8278,0.6056,0.0333,0.1611,0.0222,31,0,0.0,157.0,2.59,5.01,151,29.0,180
qwen3_32b_think,4.891,168.0,301,248.0,30.0,78.0,26.0,198,221.0,3.207,0,0,0,0.0944,0.9,0.7056,0.0556,0.0333,0.0111,18,0,0.0,0.0,2.18,4.09,174,6.0,180
o4-mini_high,0.435,2.0,43,16.0,1.0,4.0,1.0,34,10.0,2.117,0,0,0,0.2278,0.65,0.2222,0.0389,0.1444,0.0167,63,0,0.0,0.0,2.11,0.3,154,26.0,180
qwen3-235b-a22b-thinking-2507,1.886,40.0,117,38.0,38.0,11.0,20.0,66,62.0,2.757,0,0,0,0.1389,0.7778,0.3667,0.0222,0.2222,0.0278,40,0,0.0,0.0,2.41,1.15,140,40.0,180
gpt-5-mini,0.373,0.0,34,18.0,3.0,1.0,1.0,28,6.0,1.863,0,0,0,0.2944,0.65,0.1556,0.0278,0.15,0.0222,63,0,0.0,0.0,2.07,0.32,153,27.0,180
qwen3_8b_think,2.686,102.0,221,51.0,8.0,68.0,20.0,182,186.0,3.52,0,0,0,0.0556,0.9611,0.7889,0.0778,0.0278,0.0111,7,0,0.0,0.0,2.31,0.88,175,5.0,180
