model,craft_missing_not_attempted,craft_missing_not_attempted_sd,execution_errors_total,execution_errors_total_sd,tasks_failed_total,tasks_with_only_failed_gear_calculation,tasks_with_both_calc_craft,tasks_with_only_failed_craft,tasks_with_wrong_code_format,wrong_code_as_count,eligible_tasks,total_tasks_used
gpt4.1_mini,2.769,2.42,1.906,1.79,0.8389,0.0722,0.55,0.0667,0.1111,20.0,160,180
qwen3_32b,3.623,2.33,6.437,5.86,0.9833,0.05,0.7722,0.0722,0.0722,13.0,167,180
grok-4,0.114,0.16,0.023,0.04,0.0833,0.0278,0.0167,0.0056,0.0278,5.0,175,180
gemini-2.5-flash,1.292,1.27,1.559,1.66,0.7389,0.1778,0.3056,0.0778,0.1056,19.0,161,180
deepseek-v3,3.689,2.38,1.39,0.63,0.9278,0.1667,0.6833,0.05,0.0167,3.0,177,180
DeepSeek-R1-Distill-Llama-70B,3.25,2.64,1.856,0.88,0.8667,0.1111,0.4167,0.0667,0.2667,48.0,132,180
o3_high,0.82,0.98,0.18,0.17,0.3944,0.2167,0.0778,0.0778,0.0111,2.0,178,180
qwen3-235b-a22,2.794,2.4,2.794,1.91,0.8778,0.0944,0.45,0.0278,0.2722,49.0,131,180
gemini-2.5-pro,0.831,1.09,0.102,0.12,0.3778,0.2222,0.0778,0.0111,0.0167,3.0,177,180
kimi-k2,3.776,2.52,1.34,0.71,0.9167,0.1778,0.5389,0.0111,0.1833,33.0,147,180
gpt-4.1,1.5,1.39,0.784,0.89,0.6833,0.2611,0.3222,0.0333,0.0222,4.0,176,180
magistral-medium-2506-thinking,3.105,2.48,2.14,2.1,0.9056,0.1611,0.3278,0.0278,0.3667,66.0,114,180
gpt-5,0.19,0.28,0.084,0.07,0.1611,0.0833,0.0111,0.0556,0.0056,1.0,179,180
deepseek-r1-0528,2.728,2.46,1.38,1.39,0.7833,0.1944,0.3944,0.0444,0.1222,22.0,158,180
claude-sonnet-4,3.411,2.59,4.927,5.01,0.8278,0.0056,0.6056,0.0333,0.1611,29.0,151,180
qwen3_32b_think,3.207,2.18,4.891,4.09,0.9,0.0944,0.7056,0.0556,0.0333,6.0,174,180
o4-mini_high,2.117,2.11,0.435,0.3,0.65,0.2278,0.2222,0.0389,0.1444,26.0,154,180
qwen3-235b-a22b-thinking-2507,2.757,2.41,1.886,1.15,0.7778,0.1389,0.3667,0.0222,0.2222,40.0,140,180
gpt-5-mini,1.863,2.07,0.373,0.32,0.65,0.2944,0.1556,0.0278,0.15,27.0,153,180
qwen3_8b_think,3.52,2.31,2.686,0.88,0.9611,0.0556,0.7889,0.0778,0.0278,5.0,175,180
gpt-oss-120b,3.299,2.22,4.897,5.95,0.9111,0.1222,0.3444,0.0389,0.4056,73.0,107,180
claude-sonnet-4_think,1.58,1.58,0.339,0.21,0.5556,0.2444,0.2167,0.0389,0.0333,6.0,174,180
gigachat-2-max,3.893,2.49,1.931,1.11,0.9722,0.1722,0.6111,0.0556,0.1167,21.0,159,180
qwen3_8b,3.318,2.23,2.586,0.49,1.0,0.0889,0.6778,0.1056,0.1278,23.0,157,180
