Model,Mean Success (%),Mean Score,Score SD,Mean Tokens,Tokens SD,Succ/10Tok,Sc/10Tok
qwen3_8b,0.0,11.5,15.5,2883,7329,0.00,110.25
qwen3_32b,1.7,21.9,20.5,2074,5213,0.25,188.55
gigachat-2-max,2.8,21.3,23.9,1190,437,0.47,230.51
qwen3_8b_think,3.9,28.8,21.8,9680,3931,0.06,33.02
deepseek-v3,7.2,32.7,27.3,1586,806,1.07,290.43
kimi-k2,8.3,29.6,29.0,1309,622,1.13,270.47
gpt-oss-120b,8.9,27.0,33.9,9372,3552,0.19,37.74
magistral-medium-2506-thinking,9.4,25.0,34.1,10885,4139,0.13,27.03
qwen3_32b_think,10.0,44.8,27.0,9107,3655,0.16,54.60
DeepSeek-R1-Distill-Llama-70B,11.2,27.2,32.9,7458,3542,0.20,41.74
qwen3-235b-a22,13.3,34.9,34.9,12006,4016,0.14,32.61
gpt4.1_mini,16.1,53.9,31.5,4554,1881,0.74,164.30
claude-sonnet-4,17.2,50.6,32.8,1578,474,1.72,383.05
deepseek-r1-0528,21.7,48.7,36.9,10733,3007,0.27,52.83
qwen3-235b-a22b-thinking-2507,24.4,49.4,37.6,11387,4989,0.31,52.33
gemini-2.5-flash,26.1,64.8,32.6,11028,5847,0.46,81.43
gpt-4.1,31.7,73.7,28.0,3518,1643,1.64,282.53
gpt-5-mini,35.0,59.8,39.1,14126,4971,0.38,54.94
o4-mini_high,35.0,56.1,41.1,21993,10026,0.30,39.88
claude-sonnet-4_think,44.4,73.8,32.5,16369,7032,0.39,55.59
o3_high,60.6,84.6,28.1,13897,5936,0.66,80.64
gemini-2.5-pro,62.9,86.6,22.8,12940,5819,0.65,80.76
gpt-5,83.9,95.0,15.6,17851,7883,0.65,69.58
grok-4,91.7,95.3,18.1,15449,7820,0.76,78.15
