Model,Mean Success (%),Mean Score,Score SD,Mean Tokens,Tokens SD,Succ/10Tok,Sc/10Tok,SD Mode
claude-sonnet-4_level,0.0,25.6,19.0,24588,6651,0.00,10.43,all_samples
claude-sonnet-4_level_noise,0.0,21.9,14.2,25404,5697,0.00,8.64,all_samples
o3_level,0.0,26.6,28.4,22606,2788,0.00,11.78,all_samples
o3_noise_level,0.0,15.9,12.0,23562,3996,0.00,6.76,all_samples
gemini_2.5-pro_noise_level,5.0,36.0,28.5,21741,3127,0.02,16.57,all_samples
o3_high,5.0,66.2,32.1,20688,2791,0.02,32.01,all_samples
claude-sonnet-4_think,10.0,42.6,36.3,21366,6036,0.05,19.94,all_samples
gemini-2.5-pro_level,10.0,32.7,26.4,20047,3141,0.05,16.29,all_samples
gpt-5_level,15.0,62.3,32.6,31704,3656,0.05,19.64,all_samples
gpt-5-noise_level,20.0,59.9,34.2,36052,4196,0.06,16.63,all_samples
gemini-2.5-pro,25.0,66.1,26.6,18636,3835,0.13,35.46,all_samples
gpt-5,55.0,90.6,16.5,28052,3776,0.20,32.31,all_samples
grok-4_level,65.0,92.9,16.5,28361,5953,0.23,32.77,all_samples
grok-4_noise_level,65.0,78.8,31.8,33305,6672,0.20,23.65,all_samples
grok-4,80.0,95.5,14.2,22850,4587,0.35,41.79,all_samples
